domain_family,instantiation,detector_family,config_id,split_id,unit_scope,n_control_units_cal,n_event_units_cal,selection_rank,selected_flag,param_json,notes,fp_cal,accepted,acceptance_reason,n_control_alarm_units,n_event_alarm_units,fp_grid_step,near_accept_flag,distance_to_band,median_lead_cal,iqr_lead_cal_low,iqr_lead_cal_high
markets,volmageddon_covid_public,ac1_ews,ac1_ews__0120f26a,markets_grouped_leave_one_unit_out_aggregate,unit_id,6,2,,0,"{""W"": 64, ""k_consec"": 5, ""threshold_quantile"": 0.95}","input_csv present: results/rendered/comparators/markets_comparator_input_v1.csv; unreachable_fp_band:n_control_units=6;acceptance_band=[0.03, 0.07]",,0,"unreachable_fp_band:n_control_units=6;acceptance_band=[0.03, 0.07]",,,0.16666666666666666,0,,,,
markets,volmageddon_covid_public,ac1_ews,ac1_ews__06f12cae,markets_grouped_leave_one_unit_out_aggregate,unit_id,6,2,,0,"{""W"": 128, ""k_consec"": 1, ""threshold_quantile"": 0.99}","input_csv present: results/rendered/comparators/markets_comparator_input_v1.csv; unreachable_fp_band:n_control_units=6;acceptance_band=[0.03, 0.07]",,0,"unreachable_fp_band:n_control_units=6;acceptance_band=[0.03, 0.07]",,,0.16666666666666666,0,,,,
markets,volmageddon_covid_public,ac1_ews,ac1_ews__0c80888b,markets_grouped_leave_one_unit_out_aggregate,unit_id,6,2,,0,"{""W"": 128, ""k_consec"": 5, ""threshold_quantile"": 0.9}","input_csv present: results/rendered/comparators/markets_comparator_input_v1.csv; unreachable_fp_band:n_control_units=6;acceptance_band=[0.03, 0.07]",,0,"unreachable_fp_band:n_control_units=6;acceptance_band=[0.03, 0.07]",,,0.16666666666666666,0,,,,
markets,volmageddon_covid_public,ac1_ews,ac1_ews__108e2e2e,markets_grouped_leave_one_unit_out_aggregate,unit_id,6,2,,0,"{""W"": 128, ""k_consec"": 5, ""threshold_quantile"": 0.99}","input_csv present: results/rendered/comparators/markets_comparator_input_v1.csv; unreachable_fp_band:n_control_units=6;acceptance_band=[0.03, 0.07]",,0,"unreachable_fp_band:n_control_units=6;acceptance_band=[0.03, 0.07]",,,0.16666666666666666,0,,,,
markets,volmageddon_covid_public,ac1_ews,ac1_ews__10e37128,markets_grouped_leave_one_unit_out_aggregate,unit_id,6,2,,0,"{""W"": 32, ""k_consec"": 5, ""threshold_quantile"": 0.995}","input_csv present: results/rendered/comparators/markets_comparator_input_v1.csv; unreachable_fp_band:n_control_units=6;acceptance_band=[0.03, 0.07]",,0,"unreachable_fp_band:n_control_units=6;acceptance_band=[0.03, 0.07]",,,0.16666666666666666,0,,,,
markets,volmageddon_covid_public,ac1_ews,ac1_ews__11d8ae5e,markets_grouped_leave_one_unit_out_aggregate,unit_id,6,2,,0,"{""W"": 256, ""k_consec"": 1, ""threshold_quantile"": 0.99}","input_csv present: results/rendered/comparators/markets_comparator_input_v1.csv; unreachable_fp_band:n_control_units=6;acceptance_band=[0.03, 0.07]",,0,"unreachable_fp_band:n_control_units=6;acceptance_band=[0.03, 0.07]",,,0.16666666666666666,0,,,,
markets,volmageddon_covid_public,ac1_ews,ac1_ews__1452c5f9,markets_grouped_leave_one_unit_out_aggregate,unit_id,6,2,,0,"{""W"": 64, ""k_consec"": 3, ""threshold_quantile"": 0.975}","input_csv present: results/rendered/comparators/markets_comparator_input_v1.csv; unreachable_fp_band:n_control_units=6;acceptance_band=[0.03, 0.07]",,0,"unreachable_fp_band:n_control_units=6;acceptance_band=[0.03, 0.07]",,,0.16666666666666666,0,,,,
markets,volmageddon_covid_public,ac1_ews,ac1_ews__15141d47,markets_grouped_leave_one_unit_out_aggregate,unit_id,6,2,,0,"{""W"": 64, ""k_consec"": 1, ""threshold_quantile"": 0.99}","input_csv present: results/rendered/comparators/markets_comparator_input_v1.csv; unreachable_fp_band:n_control_units=6;acceptance_band=[0.03, 0.07]",,0,"unreachable_fp_band:n_control_units=6;acceptance_band=[0.03, 0.07]",,,0.16666666666666666,0,,,,
markets,volmageddon_covid_public,ac1_ews,ac1_ews__154dc58e,markets_grouped_leave_one_unit_out_aggregate,unit_id,6,2,,0,"{""W"": 128, ""k_consec"": 1, ""threshold_quantile"": 0.95}","input_csv present: results/rendered/comparators/markets_comparator_input_v1.csv; unreachable_fp_band:n_control_units=6;acceptance_band=[0.03, 0.07]",,0,"unreachable_fp_band:n_control_units=6;acceptance_band=[0.03, 0.07]",,,0.16666666666666666,0,,,,
markets,volmageddon_covid_public,ac1_ews,ac1_ews__16162ef3,markets_grouped_leave_one_unit_out_aggregate,unit_id,6,2,,0,"{""W"": 256, ""k_consec"": 3, ""threshold_quantile"": 0.99}","input_csv present: results/rendered/comparators/markets_comparator_input_v1.csv; unreachable_fp_band:n_control_units=6;acceptance_band=[0.03, 0.07]",,0,"unreachable_fp_band:n_control_units=6;acceptance_band=[0.03, 0.07]",,,0.16666666666666666,0,,,,
markets,volmageddon_covid_public,ac1_ews,ac1_ews__1665d7f2,markets_grouped_leave_one_unit_out_aggregate,unit_id,6,2,,0,"{""W"": 256, ""k_consec"": 10, ""threshold_quantile"": 0.99}","input_csv present: results/rendered/comparators/markets_comparator_input_v1.csv; unreachable_fp_band:n_control_units=6;acceptance_band=[0.03, 0.07]",,0,"unreachable_fp_band:n_control_units=6;acceptance_band=[0.03, 0.07]",,,0.16666666666666666,0,,,,
markets,volmageddon_covid_public,ac1_ews,ac1_ews__1ba470ba,markets_grouped_leave_one_unit_out_aggregate,unit_id,6,2,,0,"{""W"": 256, ""k_consec"": 1, ""threshold_quantile"": 0.975}","input_csv present: results/rendered/comparators/markets_comparator_input_v1.csv; unreachable_fp_band:n_control_units=6;acceptance_band=[0.03, 0.07]",,0,"unreachable_fp_band:n_control_units=6;acceptance_band=[0.03, 0.07]",,,0.16666666666666666,0,,,,
markets,volmageddon_covid_public,ac1_ews,ac1_ews__1eb573c8,markets_grouped_leave_one_unit_out_aggregate,unit_id,6,2,,0,"{""W"": 32, ""k_consec"": 10, ""threshold_quantile"": 0.99}","input_csv present: results/rendered/comparators/markets_comparator_input_v1.csv; unreachable_fp_band:n_control_units=6;acceptance_band=[0.03, 0.07]",,0,"unreachable_fp_band:n_control_units=6;acceptance_band=[0.03, 0.07]",,,0.16666666666666666,0,,,,
markets,volmageddon_covid_public,ac1_ews,ac1_ews__2a680fb8,markets_grouped_leave_one_unit_out_aggregate,unit_id,6,2,,0,"{""W"": 64, ""k_consec"": 1, ""threshold_quantile"": 0.995}","input_csv present: results/rendered/comparators/markets_comparator_input_v1.csv; unreachable_fp_band:n_control_units=6;acceptance_band=[0.03, 0.07]",,0,"unreachable_fp_band:n_control_units=6;acceptance_band=[0.03, 0.07]",,,0.16666666666666666,0,,,,
markets,volmageddon_covid_public,ac1_ews,ac1_ews__2c32f309,markets_grouped_leave_one_unit_out_aggregate,unit_id,6,2,,0,"{""W"": 32, ""k_consec"": 5, ""threshold_quantile"": 0.99}","input_csv present: results/rendered/comparators/markets_comparator_input_v1.csv; unreachable_fp_band:n_control_units=6;acceptance_band=[0.03, 0.07]",,0,"unreachable_fp_band:n_control_units=6;acceptance_band=[0.03, 0.07]",,,0.16666666666666666,0,,,,
markets,volmageddon_covid_public,ac1_ews,ac1_ews__2df1826a,markets_grouped_leave_one_unit_out_aggregate,unit_id,6,2,,0,"{""W"": 256, ""k_consec"": 5, ""threshold_quantile"": 0.99}","input_csv present: results/rendered/comparators/markets_comparator_input_v1.csv; unreachable_fp_band:n_control_units=6;acceptance_band=[0.03, 0.07]",,0,"unreachable_fp_band:n_control_units=6;acceptance_band=[0.03, 0.07]",,,0.16666666666666666,0,,,,
markets,volmageddon_covid_public,ac1_ews,ac1_ews__2ee6d311,markets_grouped_leave_one_unit_out_aggregate,unit_id,6,2,,0,"{""W"": 256, ""k_consec"": 1, ""threshold_quantile"": 0.995}","input_csv present: results/rendered/comparators/markets_comparator_input_v1.csv; unreachable_fp_band:n_control_units=6;acceptance_band=[0.03, 0.07]",,0,"unreachable_fp_band:n_control_units=6;acceptance_band=[0.03, 0.07]",,,0.16666666666666666,0,,,,
markets,volmageddon_covid_public,ac1_ews,ac1_ews__30094d14,markets_grouped_leave_one_unit_out_aggregate,unit_id,6,2,,0,"{""W"": 32, ""k_consec"": 1, ""threshold_quantile"": 0.995}","input_csv present: results/rendered/comparators/markets_comparator_input_v1.csv; unreachable_fp_band:n_control_units=6;acceptance_band=[0.03, 0.07]",,0,"unreachable_fp_band:n_control_units=6;acceptance_band=[0.03, 0.07]",,,0.16666666666666666,0,,,,
markets,volmageddon_covid_public,ac1_ews,ac1_ews__353867ad,markets_grouped_leave_one_unit_out_aggregate,unit_id,6,2,,0,"{""W"": 256, ""k_consec"": 5, ""threshold_quantile"": 0.995}","input_csv present: results/rendered/comparators/markets_comparator_input_v1.csv; unreachable_fp_band:n_control_units=6;acceptance_band=[0.03, 0.07]",,0,"unreachable_fp_band:n_control_units=6;acceptance_band=[0.03, 0.07]",,,0.16666666666666666,0,,,,
markets,volmageddon_covid_public,ac1_ews,ac1_ews__362ef332,markets_grouped_leave_one_unit_out_aggregate,unit_id,6,2,,0,"{""W"": 64, ""k_consec"": 10, ""threshold_quantile"": 0.995}","input_csv present: results/rendered/comparators/markets_comparator_input_v1.csv; unreachable_fp_band:n_control_units=6;acceptance_band=[0.03, 0.07]",,0,"unreachable_fp_band:n_control_units=6;acceptance_band=[0.03, 0.07]",,,0.16666666666666666,0,,,,
markets,volmageddon_covid_public,ac1_ews,ac1_ews__368488b0,markets_grouped_leave_one_unit_out_aggregate,unit_id,6,2,,0,"{""W"": 256, ""k_consec"": 3, ""threshold_quantile"": 0.975}","input_csv present: results/rendered/comparators/markets_comparator_input_v1.csv; unreachable_fp_band:n_control_units=6;acceptance_band=[0.03, 0.07]",,0,"unreachable_fp_band:n_control_units=6;acceptance_band=[0.03, 0.07]",,,0.16666666666666666,0,,,,
markets,volmageddon_covid_public,ac1_ews,ac1_ews__36fc7507,markets_grouped_leave_one_unit_out_aggregate,unit_id,6,2,,0,"{""W"": 32, ""k_consec"": 3, ""threshold_quantile"": 0.975}","input_csv present: results/rendered/comparators/markets_comparator_input_v1.csv; unreachable_fp_band:n_control_units=6;acceptance_band=[0.03, 0.07]",,0,"unreachable_fp_band:n_control_units=6;acceptance_band=[0.03, 0.07]",,,0.16666666666666666,0,,,,
markets,volmageddon_covid_public,ac1_ews,ac1_ews__37bb0106,markets_grouped_leave_one_unit_out_aggregate,unit_id,6,2,,0,"{""W"": 32, ""k_consec"": 10, ""threshold_quantile"": 0.9}","input_csv present: results/rendered/comparators/markets_comparator_input_v1.csv; unreachable_fp_band:n_control_units=6;acceptance_band=[0.03, 0.07]",,0,"unreachable_fp_band:n_control_units=6;acceptance_band=[0.03, 0.07]",,,0.16666666666666666,0,,,,
markets,volmageddon_covid_public,ac1_ews,ac1_ews__3a621ab5,markets_grouped_leave_one_unit_out_aggregate,unit_id,6,2,,0,"{""W"": 128, ""k_consec"": 3, ""threshold_quantile"": 0.995}","input_csv present: results/rendered/comparators/markets_comparator_input_v1.csv; unreachable_fp_band:n_control_units=6;acceptance_band=[0.03, 0.07]",,0,"unreachable_fp_band:n_control_units=6;acceptance_band=[0.03, 0.07]",,,0.16666666666666666,0,,,,
markets,volmageddon_covid_public,ac1_ews,ac1_ews__3da2bdbc,markets_grouped_leave_one_unit_out_aggregate,unit_id,6,2,,0,"{""W"": 128, ""k_consec"": 10, ""threshold_quantile"": 0.99}","input_csv present: results/rendered/comparators/markets_comparator_input_v1.csv; unreachable_fp_band:n_control_units=6;acceptance_band=[0.03, 0.07]",,0,"unreachable_fp_band:n_control_units=6;acceptance_band=[0.03, 0.07]",,,0.16666666666666666,0,,,,
